source_field,source_number,source_id,ra_deg,dec_deg,peak_flux,snr,noise_level,peak_x_pix,peak_y_pix,npix
G012.908-00.259,1882,G012.908-00.259_1882,273.67311221431237,-17.874769071180616,0.0007369236554950476,24.26125871046535,3.0374502176062606e-05,148,0,190
G012.908-00.259,1899,G012.908-00.259_1899,273.6725646732028,-17.874769093390118,0.0019247415475547314,63.36701541306486,3.0374502176062606e-05,617,0,722
G012.908-00.259,1927,G012.908-00.259_1927,273.67323246321286,-17.87476906609843,0.00043328144238330424,14.264643412814932,3.0374502176062606e-05,45,0,122
G012.908-00.259,2367,G012.908-00.259_2367,273.6731554105193,-17.874769069363456,0.0004084418178535998,13.446864593405014,3.0374502176062606e-05,111,0,134
G012.908-00.259,2377,G012.908-00.259_2377,273.6731028745919,-17.874769071572246,0.0004195293877273798,13.81189345246292,3.0374502176062606e-05,156,0,363
G012.908-00.259,4149,G012.908-00.259_4149,273.6718431798013,-17.874769120322416,0.0021573882550001144,71.0262918053781,3.0374502176062606e-05,1235,0,1640
G012.908-00.259,5418,G012.908-00.259_5418,273.6731904344709,-17.874769067883086,0.0003143856883980334,10.35031575417203,3.0374502176062606e-05,81,0,136
G012.908-00.259,5598,G012.908-00.259_5598,273.673105209522,-17.874769071474386,0.0015674646710976958,51.60462094200102,3.0374502176062606e-05,154,0,227
G012.908-00.259,5600,G012.908-00.259_5600,273.67327215702466,-17.87476906440464,0.0003096347500104457,10.19390369645173,3.0374502176062606e-05,11,0,29
G012.908-00.259,5661,G012.908-00.259_5661,273.67328032928,-17.87476906405491,0.0003287318395450711,10.82262476730027,3.0374502176062606e-05,4,0,65
G012.908-00.259,5669,G012.908-00.259_5669,273.67322195602736,-17.874769066545433,0.0003865529433824122,12.726231400988853,3.0374502176062606e-05,54,0,172
G012.908-00.259,5699,G012.908-00.259_5699,273.67327916181495,-17.8747690641049,0.0003179311752319336,10.467041513605029,3.0374502176062606e-05,5,0,27
G012.908-00.259,5752,G012.908-00.259_5752,273.6731810947505,-17.87476906827847,0.00036554745747707784,12.034681436364634,3.0374502176062606e-05,89,0,98
G012.908-00.259,5819,G012.908-00.259_5819,273.6732558125139,-17.87476906510306,0.00030695716850459576,10.105751420232366,3.0374502176062606e-05,25,0,64
G012.908-00.259,5850,G012.908-00.259_5850,273.67316241530966,-17.87476906906788,0.0009384094155393541,30.894643477610355,3.0374502176062606e-05,105,0,256
G012.908-00.259,5852,G012.908-00.259_5852,273.673258147444,-17.874769065003363,0.0005542252911254764,18.24639916443627,3.0374502176062606e-05,23,0,272
G012.908-00.259,5853,G012.908-00.259_5853,273.67324880772355,-17.874769065401956,0.0003776494995690882,12.43310910513307,3.0374502176062606e-05,31,0,87
G012.908-00.259,5919,G012.908-00.259_5919,273.6730550085248,-17.874769073572487,0.016499441117048264,543.2003797596744,3.0374502176062606e-05,197,0,276
G012.908-00.259,5920,G012.908-00.259_5920,273.67321028137684,-17.874769067041456,0.0004032321157865226,13.275348957136156,3.0374502176062606e-05,64,0,77
G012.908-00.259,5950,G012.908-00.259_5950,273.67327916181495,-17.8747690641049,0.0012003756128251553,39.51918638426745,3.0374502176062606e-05,5,0,6
G012.908-00.259,5988,G012.908-00.259_5988,273.67324063546823,-17.874769065750368,0.00040813873056322336,13.43688624746803,3.0374502176062606e-05,38,0,50
G012.908-00.259,5989,G012.908-00.259_5989,273.6732849991402,-17.87476906385492,0.0006132084527052939,20.188263470159793,3.0374502176062606e-05,0,0,100
G012.908-00.259,6006,G012.908-00.259_6006,273.6732674871644,-17.874769064604312,0.0004856376035604626,15.988331290024618,3.0374502176062606e-05,15,0,267
G012.908-00.259,6026,G012.908-00.259_6026,273.67327098955957,-17.87476906445456,0.00044480577344074845,14.64405147654696,3.0374502176062606e-05,12,0,47
G012.908-00.259,6027,G012.908-00.259_6027,273.67327098955957,-17.87476906445456,0.0003356007509864867,11.048765475766887,3.0374502176062606e-05,12,0,26
G012.908-00.259,6043,G012.908-00.259_6043,273.6730993721968,-17.874769071719022,0.0006196169997565448,20.399247900920322,3.0374502176062606e-05,159,0,168
G012.908-00.259,6059,G012.908-00.259_6059,273.6732079464467,-17.874769067140573,0.0003229491412639618,10.6322447489681,3.0374502176062606e-05,66,0,90
G012.908-00.259,6065,G012.908-00.259_6065,273.67327098955957,-17.87476906445456,0.0003734423080459237,12.294598472143006,3.0374502176062606e-05,12,0,22
G012.908-00.259,6076,G012.908-00.259_6076,273.67323830053806,-17.87476906584984,0.00044625188456848264,14.69166085362751,3.0374502176062606e-05,40,0,74
G012.908-00.259,6267,G012.908-00.259_6267,273.67320677898164,-17.874769067190122,0.0004856772720813751,15.9896372709649,3.0374502176062606e-05,67,0,136
G012.908-00.259,6596,G012.908-00.259_6596,273.67311805163763,-17.874769070935603,0.0003848317137453705,12.66956447597837,3.0374502176062606e-05,143,0,186
G012.908-00.259,7112,G012.908-00.259_7112,273.6730001376673,-17.87476907585105,0.0005373801104724407,17.69181622656969,3.0374502176062606e-05,244,0,281
G012.908-00.259,7489,G012.908-00.259_7489,273.673125056428,-17.87476907064137,0.0006312605692073703,20.782581572805203,3.0374502176062606e-05,137,0,180
G013.276-00.334,6315,G013.276-00.334_6315,273.92504803311795,-17.586911061498192,0.0008528083562850952,34.08146477170665,2.5022643891558018e-05,31,0,89
G013.276-00.334,6320,G013.276-00.334_6320,273.9250596890297,-17.58691106100844,0.0005204373737797141,20.798656450340005,2.5022643891558018e-05,21,0,27
G013.276-00.334,6323,G013.276-00.334_6323,273.92506202021207,-17.586911060910417,0.00041803927160799503,16.706438912677427,2.5022643891558018e-05,19,0,31
G014.194-00.194_eb1,401,G014.194-00.194_eb1_401,274.25233361201475,-16.71193060852331,0.0005999861750751734,21.52077796379317,2.7879390609605183e-05,85,0,223
G014.194-00.194_eb1,924,G014.194-00.194_eb1_924,274.2523649350159,-16.711930607278735,0.001475987839512527,52.941897481934575,2.7879390609605183e-05,58,0,306
G014.194-00.194_eb1,966,G014.194-00.194_eb1_966,274.2524194602401,-16.711930605100996,0.00030215209699235857,10.837830038087677,2.7879390609605183e-05,11,0,12
