target,proposal,src_id,ra,dec,peak_Jybeam,snr,sep_arcsec,on_target,all_off_target
G076.3829-00.6210,2022.1.00367.S,3,306.85734103690965,37.37864809810333,0.0765025913715362,45.50878143310547,12.890976666144555,False,False
G076.3829-00.6210,2022.1.00367.S,4,306.8617455315885,37.37989820310417,0.0359541289508342,21.38788414001465,0.6064815431287324,True,False
G076.3829-00.6210,2022.1.00367.S,5,306.86635994057355,37.381564804577984,0.0359652563929557,21.39450454711914,14.966976063751142,False,False
G081.6802+00.5405A,2019.1.00263.S,1,309.75545223514933,42.3113618117274,0.0187432803213596,21.43332290649414,57.07604467810674,False,True
G081.6802+00.5405A,2019.1.00263.S,2,309.7537907159168,42.31868111526919,0.0415676496922969,47.53345489501953,31.570840983802295,False,True
G081.6802+00.5405A,2019.1.00263.S,3,309.7556418960019,42.32510349333664,0.0437062792479991,49.97901916503906,7.985044035098329,False,True
G081.6802+00.5405B,2019.1.00263.S,1,309.75310751706587,42.32437548872553,0.0514031760394573,115.7584457397461,26.83708414406906,False,False
G081.6802+00.5405B,2019.1.00263.S,2,309.75373884313944,42.31870549875307,0.0511685796082019,115.23014068603516,46.8238086324781,False,False
G081.6802+00.5405B,2019.1.00263.S,3,309.7429469669726,42.316184850648135,0.0266516804695129,60.018802642822266,64.58450432409887,False,False
G081.6802+00.5405B,2019.1.00263.S,4,309.7544329996394,42.32556550580811,0.0241058394312858,54.28564453125,22.06089001437375,False,False
G081.6802+00.5405B,2019.1.00263.S,5,309.7550326207484,42.33135217519782,0.0237571969628334,53.5005111694336,1.2249427514388904,True,False
G081.6802+00.5405B,2019.1.00263.S,6,309.7548432816849,42.32540217466867,0.0216836333274841,48.83090591430664,22.573087604617836,False,False
G081.6802+00.5405B,2019.1.00263.S,7,309.7544961242851,42.32519217290762,0.0211769174784421,47.68979644775391,23.385118687718705,False,False
G081.6802+00.5405B,2019.1.00263.S,8,309.75474859908246,42.32572884095878,0.0203648675233125,45.861083984375,21.411158749074247,False,False
G081.6802+00.5405B,2019.1.00263.S,9,309.7543698722779,42.32607883867396,0.0165127795189619,37.18629455566406,20.23956472616091,False,False
G081.6802+00.5405B,2019.1.00263.S,10,309.7531390208623,42.32603215597535,0.0156801268458366,35.311187744140625,21.018534553959118,False,False
