rest_MHz,T_K
258490.87,21.95674348908684
258493.9275,21.41641132378242
258496.242,23.91492018244225
258499.332,20.60960989419214
258502.735,23.55804797785969
258508.181,23.13819331364629
258746.248,13.19928334668984
258756.673,19.22707388498562
258768.938,11.65829779417543
258769.974,15.42932409720021
258783.896,11.2643858024442
259113.95,15.03410989036089
259128.178,21.95828207675352
259136.2934,10.83646933954745
259137.93,15.16145690591981
259341.8654,30.63032170307001
259342.727,30.63032170307001
259499.905,23.24182053882361
259521.812,23.05827445196051
259616.603,18.17676900275774
259617.378,18.96236892741673
259629.3,16.08131232123624
259646.531,21.67322305873844
259647.705,22.51451051019029
259653.078,15.66654940529398
