Name,Type,RAJ2000,DEJ2000,l_deg,b_deg,d_kpc,Lbol_Lsun,has_ATLASGAL,ATLASGAL_offset_arcsec,has_6p7GHz_maser,maser_catalog,maser_sep_arcsec,gas_rich,keep,ALMA_visible,alt_name,dist_ref,L_ref,why_added,source
G316.8112-00.0566,HII region,221.35979166666664,-59.82080555555556,316.81097864489175,-0.05700137499153992,2.700000047683716,44320.0,True,7.800000190734863,True,MMB,1.5244353193998423,True,True,True,,,,,RMS
G339.8838-01.2588,YSO,253.01941666666664,-46.14266666666666,339.8841228066829,-1.258666031467314,2.700000047683716,63920.0,True,5.199999809265137,True,MMB,0.6089346124127896,True,True,True,,,,,RMS
G343.5024-00.0145,HII region,254.83662499999997,-42.543749999999996,343.5024539003356,-0.014170303797152586,2.700000047683716,14500.0,True,0.20000000298023224,False,,567.7316977024667,True,True,True,,,,,RMS
G018.3029-00.3910,HII region,276.426875,-13.172638888888889,18.30267664379842,-0.39113736643060887,2.799999952316284,39240.0,True,9.5,False,,549.662777029542,True,True,True,,,,,RMS
G018.3412+01.7681,YSO,274.492125,-12.123555555555557,18.34134446878279,1.7682002655253644,2.799999952316284,21810.0,False,,True,MMB,0.29330909266969485,True,True,True,,,,,RMS
G320.2046+00.8626A,HII region,226.34604166666665,-57.445499999999996,320.20503060914666,0.8636867566125519,2.799999952316284,10010.0,True,22.600000381469727,False,,2819.77521788889,True,True,True,,,,,RMS
G321.7209+01.1711,HII region,228.4572083333333,-56.41311111111111,321.72072875142743,1.17343423281846,2.799999952316284,36880.0,True,9.399999618530273,False,,62.89326598428029,True,True,True,,,,,RMS
G328.8074+00.6324,HII region,238.95149999999995,-52.718583333333335,328.8081098119426,0.6330957215687076,2.799999952316284,196820.0,True,4.400000095367432,True,MMB,0.8710300968792096,True,True,True,,,,,RMS
G339.6221-00.1209,YSO,251.52499999999992,-45.61219444444445,339.62198999442796,-0.12064990066889413,2.799999952316284,23860.0,True,7.0,True,MMB,0.6091056089444693,True,True,True,,,,,RMS
G343.1261-00.0623,YSO,254.57170833333328,-42.86863888888889,343.12684354864837,-0.06281601116825718,2.799999952316284,66190.0,True,2.700000047683716,False,,641.6777597437499,True,True,True,,,,,RMS
G345.0034-00.2240A,HII region,256.29662499999995,-41.48511111111111,345.0034925615253,-0.2242667323989045,2.799999952316284,17490.0,True,2.4000000953674316,True,MMB,0.6723309438821337,True,True,True,,,,,RMS
G348.5312-00.9714,HII region,259.8147083333333,-39.07577777777778,348.5313389352553,-0.9724542859851405,2.799999952316284,14180.0,True,1.7000000476837158,False,,70.1938053564186,True,True,True,,,,,RMS
G348.6972-01.0263,HII region,259.99549999999994,-38.97080555555556,348.6978675567081,-1.0274405396596291,2.799999952316284,15610.0,True,1.2000000476837158,False,,62.03948803264591,True,True,True,,,,,RMS
G348.7250-01.0435,HII region,260.03387499999997,-38.956500000000005,348.726672303322,-1.0437356335059895,2.799999952316284,34750.0,True,17.5,False,,23.419549711754144,True,True,True,,,,,RMS
G026.3819+01.4057A,YSO,278.60699999999997,-5.180638888888889,26.381903328231438,1.4068060475960034,2.9000000953674316,17500.0,True,4.199999809265137,True,Yang19,2.6610722699223084,True,True,True,,,,,RMS
G026.4207+01.6858,YSO,278.3772916666666,-5.01725,26.421630343112867,1.6851366642700358,2.9000000953674316,19340.0,False,,True,Yang19,3.101083620868545,True,True,True,,,,,RMS
G138.2957+01.5552,YSO,45.3805,60.487027777777776,138.29500737832012,1.5551177541039858,2.9000000953674316,14220.0,False,,True,Yang19,7.24273199384565,True,True,False,,,,,RMS
G290.3745+01.6615,YSO,168.07579166666662,-58.772444444444446,290.37453588372426,1.661155332565672,2.9000000953674316,14080.0,False,,True,MMB,0.989871558526301,True,True,True,,,,,RMS
G328.2523-00.5320B,YSO,239.49741666666662,-53.965944444444446,328.25393275655495,-0.5309539500795807,2.9000000953674316,21300.0,True,5.599999904632568,True,MMB,4.433870161851036,True,True,True,,,,,RMS
G328.2523-00.5320A,YSO,239.49929166666664,-53.96680555555556,328.25421649323624,-0.5323242033169252,2.9000000953674316,40510.0,True,0.6000000238418579,True,MMB,0.7129527899507068,True,True,True,,,,,RMS
RMS_AFGL2591,YSO,307.35371170415465,40.18867452717212,78.8867,0.7087,3.33,190000.0,False,nan,False,,nan,True,True,True,AFGL 2591 (=G078.8867+00.7087),Rygl+2012 parallax,RMS SED,d>3.0 kpc cut by 0.33,literature_override
