target,proposal,src_id,species,line,v,peak_K,trough_K,sigma_K,snr,trough_snr,peak_v,dv_from_vlsr,v_ok,trough_clean,is_v0,passes_strict
G192.6005-00.0479,2019.1.00315.S,1,NaCl,NaCl_v1_J26-25,1,0.0122210793197155,-0.0066942013800144196,0.007145194802433252,1.71039134098257,0.9368815777751434,25.39746516148909,20.797465161489093,False,False,False,False
G192.6005-00.0479,2019.1.00315.S,1,KCl,KCl_v1_J44-43,1,0.09908130764961243,-0.011817718856036663,0.011895967647433281,8.328982608740583,0.9934222424172866,-13.267521625010996,-17.867521625010994,False,True,False,False
G232.6207+00.9959,2018.1.01561.S,1,NaCl,NaCl_v2_J31-30,2,0.028416810557246208,-0.029409507289528847,0.011243406683206558,2.5274199678012437,2.615711422540256,22.100984370772583,-0.7990156292274158,True,False,False,False
G232.6207+00.9959,2018.1.01561.S,1,KCl,KCl_v0_J52-51,0,0.025482892990112305,-0.023849841207265854,0.009080966003239155,2.806187467393076,2.6263550814702623,16.853620546271326,-6.046379453728672,True,False,True,False
G232.6207+00.9959,2018.1.01561.S,1,KCl,KCl_v2_J54-53,2,0.014590466395020485,-0.019405141472816467,0.005438175052404404,2.6829710802651596,3.568318652088404,46.94624307728471,24.046243077284714,False,False,False,False
G232.6207+00.9959,2023.1.01721.S,1,KCl,KCl_v1_J45-44,1,0.0009298133081756532,-0.0022379497531801462,0.00042395343189127743,2.1931967952888356,5.2787631490480935,17.77622010701547,-5.12377989298453,True,False,False,False
G232.6207+00.9959,2023.1.01721.S,1,KCl,KCl_v2_J47-46,2,0.0015284218825399876,-0.005891686305403709,0.0006688261055387557,2.2852306001255838,8.808995726412045,30.904128282680293,8.004128282680295,True,False,False,False
G232.6207+00.9959,2023.1.01721.S,2,KCl,KCl_v1_J45-44,1,0.001079711364582181,-0.0014936670195311308,0.0005447666626423597,1.9819703345008346,2.7418473301691844,32.30145106538806,9.40145106538806,True,False,False,False
G232.6207+00.9959,2023.1.01721.S,2,KCl,KCl_v2_J47-46,2,0.002032735152170062,-0.015276359394192696,0.00032530774478800595,6.248652805652504,46.95971626543314,22.6700311523173,-0.22996884768269865,True,False,False,False
G268.4222-00.8490,2021.1.00095.S,1,NaCl,NaCl_v0_J18-17,0,0.004248439334332943,-0.0052101160399615765,0.002407689346000552,1.7645296895922589,2.1639486209531875,-19.833934605570978,0.0,True,False,True,False
G268.4222-00.8490,2021.1.00095.S,1,NaCl,NaCl_v1_J17-16,1,0.007027298677712679,-0.00452427426353097,0.0020141219720244408,3.4890134635934573,2.246276206889058,-2.997007087745704,0.0,True,False,False,False
G268.4222-00.8490,2021.1.00095.S,1,NaCl,NaCl_v2_J17-16,2,0.0073148631490767,-0.0065391696989536285,0.00299133756197989,2.445348609949316,2.186035364937389,-27.34382356420695,0.0,True,False,False,False
G268.4222-00.8490,2021.1.00095.S,1,NaCl,NaCl_v2_J18-17,2,0.008206164464354515,-0.00939035601913929,0.004353314638137817,1.8850382171927735,2.157058884941091,7.418105097418418,0.0,True,False,False,False
G268.4222-00.8490,2021.1.00095.S,1,KCl,KCl_v2_J29-28,2,0.006174019537866116,-0.007400579750537872,0.004488905891776085,1.3753951824156636,1.6486377591689167,23.678605980369728,0.0,True,False,False,False
G268.4222-00.8490,2021.1.00095.S,1,H2O,H2O_5_15-4_22_232,0,0.0052908542566001415,-0.0053009698167443275,0.002661233302205801,1.9881211663083962,1.9919222461069248,-11.884396886992501,0.0,True,False,True,False
