name,origin,n_cubes,vcen_kms,NaCl_snr,KCl_snr,H2O_snr,status
G034.401+00.226_011,DIHCA2,4,57.29999923706055,5.351205136155288,5.220460566378846,4.473914429596565,ok
G034.401+00.226_010,DIHCA2,4,57.29999923706055,3.500780500019555,3.320889564360393,2.998879790539822,ok
G034.401+00.226_007,DIHCA2,4,57.29999923706055,2.9099934391856546,7683.498438192409,nan,ok
G034.401+00.226_003,DIHCA2,4,57.29999923706055,3.874495288353379,3.6109489329760143,3.343514703182782,ok
G034.401+00.226_002,DIHCA2,4,57.29999923706055,4.580596774232596,4.574922955221283,4.945187879387551,ok
G034.401+00.226_001,DIHCA2,4,57.29999923706055,3.6587754064727576,3.949607389387628,2.9993891954433622,ok
G034.258+00.166_019,DIHCA2,4,57.20000076293945,3.7288222644257916,3.9823062232743145,2.6255721540779486,ok
G034.258+00.166_018,DIHCA2,4,57.20000076293945,1.5294803678276288,3.5766206930283277,nan,ok
G034.258+00.166_017,DIHCA2,4,57.20000076293945,1.7043426617582231,1.3818791415659233,1.355699216815933,ok
G034.258+00.166_016,DIHCA2,4,57.20000076293945,2.0455063087852565,nan,nan,ok
G034.258+00.166_015,DIHCA2,4,57.20000076293945,1.5094311782603544,2892.924158912558,1.739333971896881,ok
G034.258+00.166_014,DIHCA2,4,57.20000076293945,1.8057774798668074,733.016085752366,1.2192521806912588,ok
G034.258+00.166_010,DIHCA2,4,57.20000076293945,4.283880078765118,4.166240656131016,2.2314731580583023,ok
G034.258+00.166_009,DIHCA2,4,57.20000076293945,5.620238235834427,5.0252236550555045,3.908275053460428,ok
G034.258+00.166_008,DIHCA2,4,57.20000076293945,5.74557363443739,3.2905636359889683,2.604915318254688,ok
G034.258+00.166_006,DIHCA2,4,57.20000076293945,2.4471754323306896,4.288921611975114,3.382760267740828,ok
G034.258+00.166_003,DIHCA2,4,57.20000076293945,2.3533969106833323,2.8376769277427356,2.6246517197277033,ok
G034.258+00.166_002,DIHCA2,4,57.20000076293945,2.5484427424520804,0.6372011526434505,nan,ok
G034.258+00.154_006,DIHCA2,4,57.20000076293945,15.079435999061177,14.550081190799755,12.253719680349857,ok
G034.258+00.154_005,DIHCA2,4,57.20000076293945,9.323781060475426,11.029946484198787,4.542398990901368,ok
G034.258+00.154_004,DIHCA2,4,57.20000076293945,71.70234441809062,72.72107327565489,43.73591317596796,ok
G034.258+00.154_003,DIHCA2,4,57.20000076293945,13.782139017807372,15.482618645543884,13.380121278101628,ok
G034.258+00.154_002,DIHCA2,4,57.20000076293945,32.76584185383622,29.862702311095212,18.681497501141855,ok
G034.258+00.154_001,DIHCA2,4,57.20000076293945,24.49901528135205,25.515331483741544,6.689867676575399,ok
G016.364-00.207_004,DIHCA2,4,49.099998474121094,1.4711176764505638,1.6315445474472938,2.4181726991756562,ok
G016.364-00.207_002,DIHCA2,4,49.099998474121094,2.31994733611437,14.217189944605153,nan,ok
G015.029-00.669_eb1_005,DIHCA2,4,19.200000762939453,2.321488207570102,2.341428021484336,1.8389182189007276,ok
G015.029-00.669_eb1_004,DIHCA2,4,19.200000762939453,1.0083053605989418,1.7692997973843942,2.3638654666638548,ok
G015.029-00.669_eb1_003,DIHCA2,4,19.200000762939453,5.740528714595641,5.631410063995041,4.871703140647061,ok
G015.029-00.669_eb1_002,DIHCA2,4,19.200000762939453,3.2942224746530897,7.000655898251846,1.7304129646190776,ok
