name,common,cls,gname,coord,d,d_str,lbol,dref,lref,v_lsr,vref,codes,per_code,best_res_au,n_obs_total
G133.7354+01.1827,W3(OH),HII,\texttt{G133.7356+01.1842},02:25:44.8+62:03:41,1.95,1.9,10400.0,$^{[33]}$,$^{[14]}$,-38.3,$^{[18]}$,,[],,0
G133.7184+01.2237,W3-IRS5,HII,\texttt{G133.7184+01.2251},02:25:44.1+62:06:21,1.95,1.9,244000.0,$^{[33]}$,$^{[14]}$,\nodata,,,[],,0
G133.7150+01.2155,W3-IRS4,MYSO,\texttt{G133.7152+01.2155},02:25:40.8+62:05:53,1.95,1.9,196000.0,$^{[33]}$,$^{[14]}$,-39.2,$^{[18]}$,,[],,0
G133.9476+01.0648,IRAS 02232+6138,HII,\texttt{G133.9474+01.0642},02:27:03.9+61:52:25,1.95,1.9,78500.0,$^{[33]}$,$^{[14]}$,-48.1,$^{[18]}$,,[],,0
G133.6945+01.2166B,G133.6945+01.2166B,HII,\texttt{G133.6950+01.2151},02:25:31.0+62:06:17,1.95,1.9,27100.0,$^{[33]}$,$^{[14]}$,-43.4,$^{[18]}$,,[],,0
G133.6923+01.2270,G133.6923+01.2270,HII,\texttt{G133.6936+01.2273},02:25:32.6+62:07:00,1.95,1.9,17700.0,$^{[33]}$,$^{[14]}$,\nodata,,,[],,0
G133.6945+01.2166A,G133.6945+01.2166A,MYSO,\texttt{G133.6945+01.2161},02:25:31.0+62:06:21,1.95,1.9,27100.0,$^{[33]}$,$^{[14]}$,-43.4,$^{[18]}$,,[],,0
G336.4917-01.4741A,IRAS 16362-4845,HII,\texttt{G336.4921-01.4743},16:40:00.1-48:51:40,2.0,2.0,217970.0,$^{[17]}$,$^{[14]}$,-23.4,$^{[18]}$,,[],1386.7105126388108,8
G336.4917-01.4741B,IRAS 16362-4845,MYSO,\texttt{G336.4914-01.4786},16:40:01.1-48:51:52,2.0,2.0,11470.0,$^{[17]}$,$^{[14]}$,-23.4,$^{[18]}$,,[],1386.7105126388108,8
G189.0307+00.7821,IRAS 06056+2131,MYSO,\texttt{G189.0311+00.7821},06:08:40.5+21:31:00,2.0,2.0,19910.0,$^{[17]}$,$^{[14]}$,+8.9,lit.\tablenotemark{l},2022.1.01160.S,"[(np.str_('2022.1.01160.S'), 0.02341771690425641)]",46.835433808512825,12
HIGALBM343.3533-0.0782,IRAS 16555-4237,MYSO,\texttt{G343.3533-00.0782},16:59:07.1-42:42:02,2.0,2.0,10612.13,$^{[34]}$,$^{[34]}$,\nodata,,,[],9425.277992570838,4
G345.5043+00.3480,I17008-4040,MYSO,\texttt{G345.5043+00.3481},17:04:22.9-40:44:23,2.4,2.4,34171.0,$^{[35]}$,$^{[14]}$,-17.0,$^{[18]}$,2013.1.00489.S; 2022.1.01344.S,"[(np.str_('2013.1.00489.S'), 0.20573715482819951), (np.str_('2022.1.01344.S'), 0.034243310664799256)]",82.18394559551821,114
