target,proposal,src_id,NaCl_n_lines,NaCl_n_5sig,NaCl_top_line,NaCl_top_snr,NaCl_top_peak_K,NaCl_top_peak_v,NaCl_stack_snr,NaCl_stack_peak,NaCl_stack_nlines,NaCl_vexc_only_det,NaCl_decision,KCl_n_lines,KCl_n_5sig,KCl_top_line,KCl_top_snr,KCl_top_peak_K,KCl_top_peak_v,KCl_stack_snr,KCl_stack_peak,KCl_stack_nlines,KCl_vexc_only_det,KCl_decision,H2O_n_lines,H2O_n_5sig,H2O_top_line,H2O_top_snr,H2O_top_peak_K,H2O_top_peak_v,H2O_stack_snr,H2O_stack_peak,H2O_stack_nlines,H2O_vexc_only_det,H2O_decision,RRL_n_lines,RRL_n_5sig,RRL_top_line,RRL_top_snr,RRL_top_peak_K,RRL_top_peak_v,RRL_stack_snr,RRL_stack_peak,RRL_stack_nlines,RRL_vexc_only_det,RRL_decision,SiO_n_lines,SiO_n_5sig,SiO_top_line,SiO_top_snr,SiO_top_peak_K,SiO_top_peak_v,SiO_stack_snr,SiO_stack_peak,SiO_stack_nlines,SiO_vexc_only_det,SiO_decision,SiS_n_lines,SiS_n_5sig,SiS_top_line,SiS_top_snr,SiS_top_peak_K,SiS_top_peak_v,SiS_stack_snr,SiS_stack_peak,SiS_stack_nlines,SiS_vexc_only_det,SiS_decision,SO_n_lines,SO_n_5sig,SO_top_line,SO_top_snr,SO_top_peak_K,SO_top_peak_v,SO_stack_snr,SO_stack_peak,SO_stack_nlines,SO_vexc_only_det,SO_decision,f5sigma,flags
MonR2-IRS2,2018.1.00446.S,3,0,0,,,,,,,,,na,2,0,KCl_v1_J48-47,0.1583070158958435,2.9556140361819416e-05,5.866538930142764,1.0488398450703174,0.00013086507404173133,2.0,False,ul,0,0,,,,,,,,,na,2,2,H26alpha,171.529541015625,0.2847523391246795,31.6841309339882,,,0.0,False,det,0,0,,,,,,,,,na,0,0,,,,,,,,,na,0,0,,,,,,,,,na,0.0445776850886339,HIGH_CONFUSION
MonR2-IRS2,2022.1.00285.S,1,2,0,NaCl_v2_J17-16,2.937798261642456,0.0019024081993848,7.628439533551689,2.4118837597574223,0.0011638317657354958,2.0,False,ul,0,0,,,,,,,,,na,0,0,,,,,,,,,na,1,1,H30alpha,274.2887268066406,0.1830531358718872,-9.686429824458669,,,0.0,False,det,0,0,,,,,,,,,na,0,0,,,,,,,,,na,0,0,,,,,,,,,na,,RRL_SINGLE_LINE_DET
MonR2-IRS3,2019.1.00437.S,1,3,0,NaCl_v0_J18-17,3.914817333221436,0.0024814221542328,10.79403108814382,4.764915271811247,0.002072086656818258,3.0,False,det,0,0,,,,,,,,,na,0,0,,,,,,,,,na,0,0,,,,,,,,,na,1,1,SiO_v0_J=5-4,6.448252201080322,0.0045095384120941,9.805185742810718,,,0.0,False,det,0,0,,,,,,,,,na,0,0,,,,,,,,,na,0.0,SiO_SINGLE_LINE_DET
MonR2-IRS3,2022.1.00285.S,1,2,0,NaCl_v0_J18-17,2.917994976043701,0.0032564685679972,17.323019925295842,2.3362497596662997,0.0015543778002815969,2.0,False,ul,0,0,,,,,,,,,na,0,0,,,,,,,,,na,1,1,H30alpha,8.208521842956543,0.0075527145527303,42.07704373212764,,,0.0,False,det,0,0,,,,,,,,,na,0,0,,,,,,,,,na,0,0,,,,,,,,,na,0.0252130064336637,RRL_SINGLE_LINE_DET|HIGH_CONFUSION
NGC6334I,2016.1.00383.S,5,1,0,NaCl_v1_J20-19,0.9592397809028624,0.0260261818766593,-6.351203465596191,,,0.0,False,ul,0,0,,,,,,,,,na,0,0,,,,,,,,,na,1,1,H37beta,6.178765773773193,0.0197989027947187,49.72622339908733,,,0.0,False,det,2,0,SiO_v1_J=6-5,4.615314483642578,0.0068247630260884,-6.072454658480594,,,0.0,False,ul,0,0,,,,,,,,,na,1,1,SO2_18_3_15-18_2_16,8.307591438293457,0.0292570032179355,-7.4382293169192275,,,0.0,False,det,0.0010427528675703,RRL_SINGLE_LINE_DET|SO_SINGLE_LINE_DET
NGC6334I,2016.1.01036.S,1,1,0,NaCl_v1_J18-17,1.1104151010513306,0.0010237535461783,-3.114000246928772,,,0.0,False,ul,0,0,,,,,,,,,na,1,0,H2O_5_15-4_22_232,-0.8198783993721008,-0.0001450320705771,0.8832607079597656,,,0.0,False,ul,1,0,H30alpha,0.835015594959259,0.0016285339370369,-17.566039862805745,,,0.0,False,ul,0,0,,,,,,,,,na,0,0,,,,,,,,,na,0,0,,,,,,,,,na,,
NGC6334I,2016.1.01137.S,1,3,0,NaCl_v2_J52-51,3.255502223968506,0.2209213823080063,-2.384391346585122,2.758997274576163,0.1084035882129257,3.0,False,ul,3,0,KCl_v2_J88-87,2.7872443199157715,0.2089544236660003,1.943220324321272,1.6772207380973334,0.06466024078089233,3.0,False,ul,0,0,,,,,,,,,na,2,0,H21alpha,2.4606618881225586,0.1665228456258773,-56.6060589114374,,,0.0,False,ul,0,0,,,,,,,,,na,0,0,,,,,,,,,na,0,0,,,,,,,,,na,,
NGC6334I,2018.1.00024.S,2,0,0,,,,,,,,,na,0,0,,,,,,,,,na,1,1,H2O_5_24-4_31_321,8.728971481323242,0.0923971012234687,-1.1451656193838862,,,0.0,False,det,1,0,H38gamma,3.1984198093414307,0.0503133945167064,17.331874425196677,,,0.0,False,ul,0,0,,,,,,,,,na,0,0,,,,,,,,,na,0,0,,,,,,,,,na,,H2O_SINGLE_LINE_DET
NGC6334I,2018.1.00495.S,1,0,0,,,,,,,,,na,1,0,KCl_v2_J18-17,1.2458429336547852,0.0012369249016046,-8.897913062646985,,,0.0,False,ul,0,0,,,,,,,,,na,3,1,H51gamma,5.345214366912842,0.0056253331713378,-65.29861104235763,,,0.0,False,det,0,0,,,,,,,,,na,0,0,,,,,,,,,na,0,0,,,,,,,,,na,,RRL_SINGLE_LINE_DET
NGC6334I,2021.1.00713.S,2,4,0,NaCl_v0_J17-16,2.2781763076782227,0.0059667648747563,-13.51823918923689,2.7173828336504067,0.0024043633842343324,4.0,False,ul,3,0,KCl_v1_J29-28,1.6465718746185305,0.0028504729270935,-8.060651196696796,1.343938588802145,0.0013677377369954765,3.0,False,ul,2,0,H2O_v2_3_13-2_20_232,3.484738349914551,0.005272336769849,-15.857229237570428,,,0.0,False,ul,1,0,H30alpha,1.6352530717849731,0.0027169852983206,-10.216556028045016,,,0.0,False,ul,1,0,SiO_v0_J=5-4,4.864777565002441,0.0038454274181276,-2.8274263981853145,,,0.0,False,ul,0,0,,,,,,,,,na,2,0,SO_5_6-4_5,4.089720726013184,0.0063665308989584,-3.169339389183966,,,0.0,False,ul,,
NGC6334I,2022.1.00700.S,2,1,1,NaCl_v1_J18-17,6.4708571434021,0.0028498475439846,-6.038283446109854,,,0.0,False,det,0,0,,,,,,,,,na,1,0,H2O_5_15-4_22_232,1.0155370235443115,0.0016204819548875,1.7222962425695734,,,0.0,False,ul,1,0,H30alpha,2.7465953826904297,0.00404749577865,-59.58988381225523,,,0.0,False,ul,0,0,,,,,,,,,na,0,0,,,,,,,,,na,0,0,,,,,,,,,na,,NaCl_SINGLE_LINE_DET|H2O_NONDET_WITH_NACL_DET
NGC6334I,2022.1.01399.S,12,2,0,NaCl_v2_J18-17,4.656498908996582,0.0459937416017055,-4.429891828617314,4.85476250337203,0.03472720662696395,2.0,False,det,1,0,KCl_v0_J30-29,2.355264663696289,0.0511813387274742,-1.936633521556156,,,0.0,False,ul,2,0,H2O_v2_3_13-2_20_232,4.300753116607666,0.0839881375432014,-15.9412358889929,,,0.0,False,ul,1,0,H30alpha,2.8316636085510254,0.0696555897593498,31.24335402729502,,,0.0,False,ul,1,1,SiO_v0_J=5-4,5.982981204986572,0.1261245757341385,-5.913831364815225,,,0.0,False,det,0,0,,,,,,,,,na,0,0,,,,,,,,,na,,SiO_SINGLE_LINE_DET|H2O_NONDET_WITH_NACL_DET
NGC6334IN,2016.1.01036.S,1,1,0,NaCl_v1_J18-17,2.906389713287353,0.0034502279013395,3.1818293869395275,,,0.0,False,ul,0,0,,,,,,,,,na,1,0,H2O_5_15-4_22_232,0.8368475437164307,0.0005226098001003,0.8832607079597656,,,0.0,False,ul,1,0,H30alpha,0.7489587068557739,0.0016181333921849,-17.566039862805745,,,0.0,False,ul,0,0,,,,,,,,,na,0,0,,,,,,,,,na,0,0,,,,,,,,,na,0.0,
NGC6334IN,2016.1.01147.S,9,1,1,NaCl_v0_J17-16,10.949278831481934,0.0366361439228057,4.18030324540881,,,0.0,False,det,1,0,KCl_v1_J29-28,0.9961337447166444,0.0144167225807905,-6.245871891784133,,,0.0,False,ul,0,0,,,,,,,,,na,1,0,H46delta,3.801409959793091,0.0147169828414917,11.759866908440832,,,0.0,False,ul,0,0,,,,,,,,,na,0,0,,,,,,,,,na,0,0,,,,,,,,,na,0.0169447340980187,NaCl_SINGLE_LINE_DET
NGC6334IN,2018.1.00024.S,2,0,0,,,,,,,,,na,0,0,,,,,,,,,na,1,1,H2O_5_24-4_31_321,9.354092597961426,0.0954278632998466,-1.1451656193838862,,,0.0,False,det,1,0,H38gamma,2.7172060012817383,0.0473446026444435,17.331874425196677,,,0.0,False,ul,0,0,,,,,,,,,na,0,0,,,,,,,,,na,0,0,,,,,,,,,na,,H2O_SINGLE_LINE_DET
NGC6334IN,2021.1.00713.S,2,4,0,NaCl_v0_J18-17,4.426782131195068,0.0064316834323108,-2.1027528196848,2.755372259693059,0.0026253958644779645,4.0,False,ul,3,1,KCl_v2_J31-30,9.781953811645508,0.0112982997670769,-11.109694990173914,7.542020772867456,0.007660880522735597,3.0,False,det,2,0,H2O_v2_3_13-2_20_232,2.6427106857299805,0.0071213082410395,-10.532479354009498,,,0.0,False,ul,1,0,H30alpha,1.2919065952301023,0.004195537418127,55.72723086135812,,,0.0,False,ul,1,0,SiO_v0_J=5-4,4.009353160858154,0.0080361878499388,0.1619453919595107,,,0.0,False,ul,0,0,,,,,,,,,na,2,1,SO_5_6-4_5,6.470978736877441,0.0093384636566042,2.4566884343134587,,,0.0,False,det,,KCl_SINGLE_LINE_DET|SO_SINGLE_LINE_DET|KCL_DET_NACL_NONDET
NGC6334IN,2022.1.00700.S,2,1,0,NaCl_v1_J18-17,2.4056899547576904,0.0024430463090538,-6.038283446109854,,,0.0,False,ul,0,0,,,,,,,,,na,1,0,H2O_5_15-4_22_232,1.137825608253479,0.0017812773585319,1.7222962425695734,,,0.0,False,ul,1,0,H30alpha,2.9551496505737305,0.0041630892083048,-59.58988381225523,,,0.0,False,ul,0,0,,,,,,,,,na,0,0,,,,,,,,,na,0,0,,,,,,,,,na,,
Orion_SrcI,2025.1.00236.S,3,8,1,NaCl_v0_J11-10,9.093682289123535,0.0044795922003686,14.156615773474917,4.299158362807985,0.0013529230974314414,8.0,False,det,4,0,KCl_v2_J34-33,4.642513751983643,0.0048977304250001,9.850838982078248,3.242008089476474,0.0021157392753186613,4.0,False,ul,0,0,,,,,,,,,na,0,0,,,,,,,,,na,2,0,29SiO_v0_J=6-5,1.6432913541793823,0.0063248979859054,1.977941239990294,,,0.0,False,ul,1,0,SiS_v0_14-13,1.5619890689849854,0.0025972370058298,0.6714881590664155,,,0.0,False,ul,0,0,,,,,,,,,na,0.0086767283361064,NaCl_SINGLE_LINE_DET
