target,display,proposal,src_id,species,line,v,J,peak_K,trough_K,sigma_K,snr,trough_snr,peak_v,dv_from_vlsr,v_ok,trough_clean,is_v0,passes_strict
G015.0357-00.6795,IRAS 18174-1612,2023.1.01346.S,1,KCl,KCl_v0_J28-27,0,28-27.spec,0.0019358176505193114,-0.003686739131808281,0.0014268659288063645,1.3566920419346666,2.5838020639349057,-2.9553290493692037,0.0,True,False,True,False
G015.0357-00.6795,IRAS 18174-1612,2023.1.01346.S,1,KCl,KCl_v0_J32-31,0,32-31.spec,0.0032454240135848522,-0.0013026439119130373,0.0009711409220471978,3.341867220200534,1.3413541560652391,15.343734942434589,0.0,True,True,True,False
G015.0357-00.6795,IRAS 18174-1612,2023.1.01346.S,1,KCl,KCl_v1_J30-29,1,30-29.spec,0.0053238412365317345,-0.0029884185642004013,0.0020818046759814024,2.5573202414015976,1.4354942126314534,24.93939416759345,0.0,True,False,False,False
G015.0357-00.6795,IRAS 18174-1612,2023.1.01346.S,1,KCl,KCl_v1_J32-31,1,32-31.spec,0.0027738548815250397,-0.002595691941678524,0.0006701347301714122,4.139249551825976,3.8733881782467505,0.6307162809637376,0.0,True,False,False,False
G015.0357-00.6795,IRAS 18174-1612,2023.1.01346.S,1,KCl,KCl_v1_J34-33,1,34-33.spec,0.003474850207567215,-0.0031905979849398136,0.0006657287594862282,5.219618587980047,4.792639553986126,-10.135926688887528,0.0,True,False,False,False
G015.0357-00.6795,IRAS 18174-1612,2023.1.01346.S,1,KCl,KCl_v2_J32-31,2,32-31.spec,0.002086373744532466,-0.003087118500843644,0.0010186040308326483,2.04826770892216,3.0307346205179537,9.637137905113079,0.0,True,False,False,False
G015.0357-00.6795,IRAS 18174-1612,2023.1.01346.S,1,H2O,H2O_5_15-4_22_232,0,,0.0020878168288618326,-0.003077708650380373,0.0011851973831653595,1.761577319117772,2.59678994747744,29.94141297298367,0.0,True,False,True,False
G015.0357-00.6795,IRAS 18174-1612,2023.1.01346.S,1,H2O,H2O_v2_3_13-2_20_232,2,,0.0033052745275199413,-0.003008746076375246,0.0012617770116776228,2.61953934564503,2.3845307439663235,24.73395398538909,0.0,True,False,False,False
G345.5043+00.3480,I17016-4124,2022.1.01344.S,1,NaCl,NaCl_v0_J18-17,0,18-17.spec,0.0013651957269757986,-0.001334841363132,0.0006886320188641548,1.982474949723632,1.9383957274216168,7.729705445317086,0.0,True,False,True,False
G345.5043+00.3480,I17016-4124,2022.1.01344.S,1,NaCl,NaCl_v1_J17-16,1,17-16.spec,0.0009677967755123973,-0.0018619070760905743,0.0009605177910998464,1.0075781880148373,1.9384410089464215,-10.945844464515423,0.0,True,False,False,False
