ID,Name,GLON,GLAT,Dist_kpc,theta_200AU_arcsec,n_alma_obs,best_res_arcsec,n_hires_obs
29540,b'HIGALBM291.6098-0.5291',291.609764,-0.529125,7.727,0.02588326646822829,24,0.1456457375612031,0
29543,b'HIGALBM291.6109-0.4419',291.610867,-0.441883,7.919,0.025255714105316327,8,12.015932591695057,0
29548,b'HIGALBM291.6279-0.5425',291.627911,-0.542458,7.727,0.02588326646822829,24,0.14556000931024818,0
29550,b'HIGALBM291.6301-0.5593',291.630091,-0.559268,7.727,0.02588326646822829,20,0.14556500426948613,0
29555,b'HIGALBM291.6340-0.5405',291.634024,-0.540504,7.939,0.025192089683839274,28,0.14551647424722466,0
29557,b'HIGALBM291.6357-0.5445',291.635681,-0.544507,7.939,0.025192089683839274,36,0.1454719633065204,0
29562,b'HIGALBM291.6417-0.5458',291.641735,-0.545822,7.939,0.025192089683839274,20,0.1454719633065204,0
29565,b'HIGALBM291.6470-0.5691',291.646981,-0.569117,8.12,0.024630541871921183,8,10.793110087127213,0
29569,b'HIGALBM291.6487-0.5798',291.648744,-0.579808,8.12,0.024630541871921183,8,10.793110087127213,0
29575,b'HIGALBM291.6540-0.5966',291.654034,-0.596589,8.12,0.024630541871921183,8,10.793110087127213,0
29700,b'HIGALBM291.8787-0.8097',291.878672,-0.80965,9.508,0.02103491796381994,0,,0
30296,b'HIGALBM293.8246-0.7610',293.824637,-0.760983,10.25,0.01951219512195122,8,13.87277160487159,0
30300,b'HIGALBM293.8276-0.7461',293.827603,-0.746148,10.25,0.01951219512195122,28,0.29862179857998294,0
30346,b'HIGALBM293.9414-0.8740',293.94144,-0.873982,10.366,0.019293845263360986,0,,0
30351,b'HIGALBM293.9511-0.8946',293.951085,-0.894601,10.366,0.019293845263360986,0,,0
30359,b'HIGALBM293.9645-0.9782',293.964523,-0.978233,10.369,0.019288263091908574,0,,0
30535,b'HIGALBM294.5120-1.6216',294.512002,-1.621568,2.2,0.09090909090909091,55,0.051054127242960406,7
30567,b'HIGALBM294.6469-1.1779',294.646901,-1.177928,9.778,0.020454080589077522,0,,0
31373,b'HIGALBM297.5324-0.8225',297.532375,-0.822516,11.091,0.01803263907672888,12,0.30896276767225445,0
